Objects (id: bounding-box centroid area mean-color):
  0: 336x14+0+0 163.2,6.8 4357 gray(255)
  18: 5x8+202+0 203.8,3.5 37 gray(0)
  76: 6x7+312+1 314.4,3.9 34 gray(255)
  70: 5x6+221+1 222.8,3.6 27 gray(255)
  39: 5x8+321+0 322.6,2.5 26 gray(0)
  36: 5x8+303+0 305.7,2.3 23 gray(255)
  105: 5x7+59+1 61.5,4.8 21 gray(255)
  24: 6x8+255+0 257.5,3.4 20 gray(0)
  21: 5x8+229+0 230.4,3.4 19 gray(0)
  117: 5x5+183+3 184.7,5.1 19 gray(255)
  22: 5x8+237+0 238.1,2.5 15 gray(0)
  20: 4x8+220+0 220.9,3.5 14 gray(0)
  7: 5x8+90+0 92.9,3.8 14 gray(0)
  25: 4x3+256+0 257.5,1.0 12 gray(255)
  31: 5x8+284+0 284.8,4.7 12 gray(0)
  45: 4x4+59+1 60.1,2.2 12 gray(255)
  8: 5x4+98+0 99.5,1.4 11 gray(0)
  4: 3x8+67+0 67.9,3.9 11 gray(0)
  32: 2x8+292+0 292.2,2.9 10 gray(0)
  34: 2x8+297+0 297.8,2.9 10 gray(0)
