Objects (id: bounding-box centroid area mean-color):
  0: 336x14+0+0 171.3,6.7 4400 gray(255)
  36: 6x8+12+1 14.4,4.0 35 gray(255)
  6: 4x8+48+0 49.5,3.4 31 gray(255)
  2: 5x8+21+0 22.7,2.6 27 gray(0)
  27: 4x8+155+0 156.2,4.2 24 gray(0)
  70: 4x8+253+2 254.2,4.8 24 gray(0)
  116: 4x5+246+3 247.4,4.9 19 gray(255)
  14: 4x5+68+0 69.5,1.6 16 gray(255)
  9: 4x5+56+0 57.5,1.6 16 gray(255)
  12: 4x5+64+0 65.5,1.6 16 gray(255)
  4: 7x8+37+0 40.0,2.0 14 gray(0)
  17: 5x3+76+0 78.0,0.8 13 gray(255)
  71: 3x8+261+2 262.5,5.2 12 gray(0)
  28: 3x8+170+0 171.5,3.8 12 gray(0)
  23: 3x8+101+0 101.5,3.5 12 gray(0)
  25: 3x8+118+0 119.5,3.5 12 gray(0)
  34: 3x8+221+0 221.9,3.8 11 gray(0)
  30: 3x8+198+0 198.3,3.2 10 gray(0)
